"","city","floor","total_area","living_area","kitchen_area","room_count","height","is_studio","view_airport","view_building","view_city","view_cottages","view_east","view_field","view_forest","view_garden","view_highway","view_house","view_mall","view_north","view_parking","view_playground","view_school","view_south","view_street","view_water","view_west","view_yard","total_price"
"17914","Чебоксары",12,37.44,16.96,9.14,1,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991808
"17915","Тюмень",16,47.33,14.6,16.4,1,"2.7","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3490000
"17918","Екатеринбург",0,47.88,21.75,12.04,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3255840
"17923","Самара",15,46.59,19.32,13.81,1,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4030035
"17924","Чебоксары",8,44.25,16.4,14.9,1,"2.7","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2876250
"17925","Чебоксары",5,64.05,32.9,14.3,2,"2.7","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4163250
"17928","Батайск",1,57.72,30.97,11.88,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3174600
"17929","Ставрополь",7,44.3,16.2,15.6,1,"2.8","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3030100
"17930","Чебоксары",4,61.46,28.39,14.51,2,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023832
"17932","Саратов",7,86.52,45.05,15.5,3,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023180
"17933","Краснодар",5,56.5,28.8,11.6,2,"2.75","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,5904250
"17936","Владивосток",14,34.29,11.16,13.11,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5212080
"17938","Самара",3,60.75,31.93,9.24,2,"2.7","0",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4282875
"17939","Тюмень",18,54.2,25.57,15.53,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5156588
"17945","Тюмень",5,65.62,26.66,19.79,2,"2.67","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4660000
"17947","Ставрополь",9,38.2,46.3,15.5,1,"2.8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2979600
"17948","Екатеринбург",15,66.95,36.19,15.43,3,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4418700
"17952","Екатеринбург",10,53.5,23.3,14.9,2,"2.75","0",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4573400
"17954","Орел",5,57.13,25.62,11.57,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3876499
"17957","Самара",8,32.84,13.33,9.16,1,"2.54","0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2300000
"17960","Тюмень",12,24.22,10.2,2.8,1,"2.51","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e+06
"17962","Нижний Новгород",8,44.38,20.2,10.21,2,"2.6","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6168820
